"startYear","endYear","genderConceptId","startAge","endAge","population","country","location"
1998,1998,8507,7,7,359337,"KOR","KOR"
1998,1998,8532,7,7,316815,"KOR","KOR"
1999,1999,8507,7,7,380305,"KOR","KOR"
1999,1999,8532,7,7,338469,"KOR","KOR"
2000,2000,8507,7,7,384873,"KOR","KOR"
2000,2000,8532,7,7,337690,"KOR","KOR"
2001,2001,8507,7,7,383099,"KOR","KOR"
2001,2001,8532,7,7,333479,"KOR","KOR"
2002,2002,8507,7,7,380629,"KOR","KOR"
2002,2002,8532,7,7,334185,"KOR","KOR"
2003,2003,8507,7,7,370091,"KOR","KOR"
2003,2003,8532,7,7,329861,"KOR","KOR"
2004,2004,8507,7,7,356348,"KOR","KOR"
2004,2004,8532,7,7,324799,"KOR","KOR"
2005,2005,8507,7,7,342954,"KOR","KOR"
2005,2005,8532,7,7,314772,"KOR","KOR"
2006,2006,8507,7,7,330041,"KOR","KOR"
2006,2006,8532,7,7,301024,"KOR","KOR"
2007,2007,8507,7,7,329467,"KOR","KOR"
2007,2007,8532,7,7,300766,"KOR","KOR"
2008,2008,8507,7,7,313125,"KOR","KOR"
2008,2008,8532,7,7,286550,"KOR","KOR"
2009,2009,8507,7,7,274986,"KOR","KOR"
2009,2009,8532,7,7,252095,"KOR","KOR"
2010,2010,8507,7,7,257305,"KOR","KOR"
2010,2010,8532,7,7,236507,"KOR","KOR"
2011,2011,8507,7,7,250872,"KOR","KOR"
2011,2011,8532,7,7,232409,"KOR","KOR"
2012,2012,8507,7,7,235601,"KOR","KOR"
2012,2012,8532,7,7,218934,"KOR","KOR"
2013,2013,8507,7,7,228910,"KOR","KOR"
2013,2013,8532,7,7,213352,"KOR","KOR"
2014,2014,8507,7,7,243462,"KOR","KOR"
2014,2014,8532,7,7,228653,"KOR","KOR"
2015,2015,8507,7,7,247831,"KOR","KOR"
2015,2015,8532,7,7,233878,"KOR","KOR"
2016,2016,8507,7,7,235732,"KOR","KOR"
2016,2016,8532,7,7,222192,"KOR","KOR"
2017,2017,8507,7,7,237194,"KOR","KOR"
2017,2017,8532,7,7,223178,"KOR","KOR"
2018,2018,8507,7,7,244003,"KOR","KOR"
2018,2018,8532,7,7,230414,"KOR","KOR"
1993,1993,8507,8,8,344471,"KOR","KOR"
1993,1993,8532,8,8,318698,"KOR","KOR"
1994,1994,8507,8,8,337183,"KOR","KOR"
1994,1994,8532,8,8,307669,"KOR","KOR"
1995,1995,8507,8,8,327196,"KOR","KOR"
1995,1995,8532,8,8,299246,"KOR","KOR"
1996,1996,8507,8,8,327620,"KOR","KOR"
1996,1996,8532,8,8,297588,"KOR","KOR"
1997,1997,8507,8,8,333236,"KOR","KOR"
1997,1997,8532,8,8,298818,"KOR","KOR"
1998,1998,8507,8,8,339414,"KOR","KOR"
1998,1998,8532,8,8,300125,"KOR","KOR"
1999,1999,8507,8,8,359067,"KOR","KOR"
1999,1999,8532,8,8,316538,"KOR","KOR"
2000,2000,8507,8,8,380142,"KOR","KOR"
2000,2000,8532,8,8,338297,"KOR","KOR"
2001,2001,8507,8,8,384586,"KOR","KOR"
2001,2001,8532,8,8,337411,"KOR","KOR"
2002,2002,8507,8,8,382681,"KOR","KOR"
2002,2002,8532,8,8,333151,"KOR","KOR"
2003,2003,8507,8,8,380215,"KOR","KOR"
2003,2003,8532,8,8,333877,"KOR","KOR"
2004,2004,8507,8,8,369728,"KOR","KOR"
2004,2004,8532,8,8,329564,"KOR","KOR"
2005,2005,8507,8,8,356058,"KOR","KOR"
2005,2005,8532,8,8,324606,"KOR","KOR"
2006,2006,8507,8,8,342705,"KOR","KOR"
2006,2006,8532,8,8,314586,"KOR","KOR"
2007,2007,8507,8,8,329843,"KOR","KOR"
2007,2007,8532,8,8,300865,"KOR","KOR"
2008,2008,8507,8,8,329299,"KOR","KOR"
2008,2008,8532,8,8,300677,"KOR","KOR"
2009,2009,8507,8,8,313002,"KOR","KOR"
2009,2009,8532,8,8,286470,"KOR","KOR"
2010,2010,8507,8,8,274928,"KOR","KOR"
2010,2010,8532,8,8,252030,"KOR","KOR"
2011,2011,8507,8,8,257304,"KOR","KOR"
2011,2011,8532,8,8,236538,"KOR","KOR"
2012,2012,8507,8,8,250882,"KOR","KOR"
2012,2012,8532,8,8,232442,"KOR","KOR"
2013,2013,8507,8,8,235632,"KOR","KOR"
2013,2013,8532,8,8,218953,"KOR","KOR"
2014,2014,8507,8,8,228972,"KOR","KOR"
2014,2014,8532,8,8,213422,"KOR","KOR"
2015,2015,8507,8,8,243517,"KOR","KOR"
2015,2015,8532,8,8,228726,"KOR","KOR"
2016,2016,8507,8,8,247874,"KOR","KOR"
2016,2016,8532,8,8,233921,"KOR","KOR"
2017,2017,8507,8,8,235772,"KOR","KOR"
2017,2017,8532,8,8,222207,"KOR","KOR"
2018,2018,8507,8,8,237215,"KOR","KOR"
2018,2018,8532,8,8,223211,"KOR","KOR"
1993,1993,8507,9,9,368325,"KOR","KOR"
1993,1993,8532,9,9,344088,"KOR","KOR"
1994,1994,8507,9,9,344177,"KOR","KOR"
1994,1994,8532,9,9,318541,"KOR","KOR"
1995,1995,8507,9,9,336836,"KOR","KOR"
1995,1995,8532,9,9,307519,"KOR","KOR"
1996,1996,8507,9,9,326810,"KOR","KOR"
1996,1996,8532,9,9,299183,"KOR","KOR"
1997,1997,8507,9,9,327263,"KOR","KOR"
1997,1997,8532,9,9,297479,"KOR","KOR"
1998,1998,8507,9,9,332908,"KOR","KOR"
1998,1998,8532,9,9,298664,"KOR","KOR"
1999,1999,8507,9,9,339039,"KOR","KOR"
1999,1999,8532,9,9,299890,"KOR","KOR"
2000,2000,8507,9,9,358679,"KOR","KOR"
2000,2000,8532,9,9,316219,"KOR","KOR"
2001,2001,8507,9,9,379654,"KOR","KOR"
2001,2001,8532,9,9,337919,"KOR","KOR"
2002,2002,8507,9,9,384184,"KOR","KOR"
2002,2002,8532,9,9,337128,"KOR","KOR"
2003,2003,8507,9,9,382296,"KOR","KOR"
2003,2003,8532,9,9,332804,"KOR","KOR"
2004,2004,8507,9,9,379836,"KOR","KOR"
2004,2004,8532,9,9,333524,"KOR","KOR"
2005,2005,8507,9,9,369416,"KOR","KOR"
2005,2005,8532,9,9,329293,"KOR","KOR"
2006,2006,8507,9,9,355771,"KOR","KOR"
2006,2006,8532,9,9,324372,"KOR","KOR"
2007,2007,8507,9,9,342474,"KOR","KOR"
2007,2007,8532,9,9,314427,"KOR","KOR"
2008,2008,8507,9,9,329672,"KOR","KOR"
2008,2008,8532,9,9,300719,"KOR","KOR"
2009,2009,8507,9,9,329175,"KOR","KOR"
2009,2009,8532,9,9,300585,"KOR","KOR"
2010,2010,8507,9,9,312882,"KOR","KOR"
2010,2010,8532,9,9,286422,"KOR","KOR"
2011,2011,8507,9,9,274863,"KOR","KOR"
2011,2011,8532,9,9,252036,"KOR","KOR"
2012,2012,8507,9,9,257299,"KOR","KOR"
2012,2012,8532,9,9,236548,"KOR","KOR"
2013,2013,8507,9,9,250876,"KOR","KOR"
2013,2013,8532,9,9,232449,"KOR","KOR"
2014,2014,8507,9,9,235645,"KOR","KOR"
2014,2014,8532,9,9,219021,"KOR","KOR"
2015,2015,8507,9,9,228995,"KOR","KOR"
2015,2015,8532,9,9,213480,"KOR","KOR"
2016,2016,8507,9,9,243516,"KOR","KOR"
2016,2016,8532,9,9,228768,"KOR","KOR"
2017,2017,8507,9,9,247880,"KOR","KOR"
2017,2017,8532,9,9,233975,"KOR","KOR"
2018,2018,8507,9,9,235775,"KOR","KOR"
2018,2018,8532,9,9,222253,"KOR","KOR"
1993,1993,8507,10,10,409327,"KOR","KOR"
1993,1993,8532,10,10,385296,"KOR","KOR"
1994,1994,8507,10,10,368069,"KOR","KOR"
1994,1994,8532,10,10,343843,"KOR","KOR"
1995,1995,8507,10,10,343707,"KOR","KOR"
1995,1995,8532,10,10,318079,"KOR","KOR"
1996,1996,8507,10,10,336402,"KOR","KOR"
1996,1996,8532,10,10,306994,"KOR","KOR"
1997,1997,8507,10,10,326492,"KOR","KOR"
1997,1997,8532,10,10,298833,"KOR","KOR"
1998,1998,8507,10,10,326963,"KOR","KOR"
1998,1998,8532,10,10,297227,"KOR","KOR"
